time,open,high,low,close
2023-04-17 22:40:00,2081.56,2082.29,2081.55,2082.29
2023-04-17 22:41:00,2082.31,2082.71,2082.31,2082.7
2023-04-17 22:42:00,2082.71,2082.71,2082.32,2082.33
2023-04-17 22:43:00,2082.32,2082.76,2082.32,2082.76
2023-04-17 22:44:00,2082.75,2083.75,2080.48,2080.61
2023-04-17 22:45:00,2080.62,2081.5,2080.61,2081.5
2023-04-17 22:46:00,2081.5,2081.5,2081.49,2081.5
2023-04-17 22:47:00,2081.5,2081.5,2080.85,2080.86
2023-04-17 22:48:00,2080.86,2080.86,2080.54,2080.81
2023-04-17 22:49:00,2080.8,2080.81,2079.77,2079.78
2023-04-17 22:50:00,2079.77,2080.11,2079.77,2080.11
2023-04-17 22:51:00,2080.11,2080.4,2080.1,2080.39
2023-04-17 22:52:00,2080.4,2081.37,2080.39,2080.87
2023-04-17 22:53:00,2080.86,2081.38,2080.86,2081.38
2023-04-17 22:54:00,2081.37,2081.38,2081.37,2081.38
2023-04-17 22:55:00,2081.38,2081.38,2080.69,2080.91
2023-04-17 22:56:00,2080.91,2080.92,2080.91,2080.91
2023-04-17 22:57:00,2080.92,2080.92,2077.94,2078.06
2023-04-17 22:58:00,2078.05,2078.9,2078.05,2078.9
2023-04-17 22:59:00,2078.89,2079.7,2078.89,2079.69
2023-04-17 23:00:00,2079.69,2080.31,2078.97,2080.3
2023-04-17 23:01:00,2080.31,2080.6,2079.77,2079.78
2023-04-17 23:02:00,2079.77,2079.78,2079.53,2079.54
2023-04-17 23:03:00,2079.53,2079.54,2078.64,2078.64
2023-04-17 23:04:00,2078.65,2078.65,2078.5,2078.5
2023-04-17 23:05:00,2078.51,2078.51,2077.37,2077.47
2023-04-17 23:06:00,2077.46,2077.68,2077.46,2077.67
2023-04-17 23:07:00,2077.67,2077.68,2077.38,2077.39
2023-04-17 23:08:00,2077.39,2077.49,2076.37,2077.48
2023-04-17 23:09:00,2077.48,2077.49,2077.48,2077.49
2023-04-17 23:10:00,2077.48,2077.85,2077.48,2077.76
2023-04-17 23:11:00,2077.76,2077.77,2076.82,2076.82
2023-04-17 23:12:00,2076.83,2078.15,2076.82,2077.85
2023-04-17 23:13:00,2077.86,2077.86,2077.78,2077.79
2023-04-17 23:14:00,2077.78,2077.79,2076.72,2076.73
2023-04-17 23:15:00,2076.72,2077.72,2076.72,2077.71
2023-04-17 23:16:00,2077.72,2077.72,2077.59,2077.59
